id,description,gender,age,country,mood,product_fit
0,"sugar musk, icy mint, grapefruit",female,28,Saudi Arabia,energising,Laundry Fresh (Ariel/Tide)
1,"orchid, icy mint, sugar musk",female,75,Saudi Arabia,sporty,Fresh Menthol Shampoo (Head & Shoulders)
2,"lavender, grapefruit, tonka bean",unisex,17,Australia,gentle,Laundry Fresh (Ariel/Tide)
3,"vetiver, lavender, baby powder",male,52,China,energising,Baby Care (Pampers)
4,"smoky spice, ocean breeze, grapefruit",male,19,Bangladesh,sporty,Laundry Fresh (Ariel/Tide)
5,"sandalwood, rosemary, lavender",unisex,38,Philippines,sporty,Warm Floral Skin Care (Olay)
6,"vetiver, green tea, thyme",male,46,Indonesia,calming,Fresh Menthol Shampoo (Head & Shoulders)
7,"ocean breeze, mint herb, jasmine",female,79,France,calming,Fresh Menthol Shampoo (Head & Shoulders)
8,"mandarin, cedarwood, sugar musk",female,73,India,warm,Laundry Fresh (Ariel/Tide)
9,"soft cotton, basil, ocean breeze",female,66,Nigeria,sporty,Baby Care (Pampers)
10,"lime, clean eucalyptus, lemongrass",male,21,Spain,warm,Dishwashing Fresh Lemon (Fairy)
11,"lime, amberwood, caramel",male,58,Australia,warm,Dishwashing Fresh Lemon (Fairy)
12,"coconut cream, bergamot, soft cotton",male,39,France,gentle,Laundry Fresh (Ariel/Tide)
13,"green tea, sage, soft cotton",male,54,Brazil,calming,Baby Care (Pampers)
14,"vanilla, thyme, green tea",unisex,33,Brazil,calming,Fresh Menthol Shampoo (Head & Shoulders)
15,"lime, clean eucalyptus, soft cotton",male,77,Malaysia,warm,Dishwashing Fresh Lemon (Fairy)
16,"grapefruit, sugar musk, vetiver",female,33,Vietnam,energising,Laundry Fresh (Ariel/Tide)
17,"fresh linen, tonka bean, orchid",unisex,48,Canada,energising,Fresh Menthol Shampoo (Head & Shoulders)
18,"orchid, powdery floral, cedarwood",female,79,Turkey,energising,Baby Care (Pampers)
19,"orchid, amberwood, lemon zest",female,60,Egypt,gentle,Dishwashing Fresh Lemon (Fairy)
20,"rosemary, caramel, rose petals",male,24,Spain,warm,Warm Floral Skin Care (Olay)
21,"sugar musk, white musk, basil",female,31,UAE,energising,Baby Care (Pampers)
22,"ocean breeze, thyme, sandalwood",unisex,57,Saudi Arabia,calming,Fresh Menthol Shampoo (Head & Shoulders)
23,"mandarin, thyme, fresh linen",unisex,72,Pakistan,gentle,Laundry Fresh (Ariel/Tide)
24,"caramel, baby powder, jasmine",male,59,UAE,energising,Baby Care (Pampers)
25,"mint herb, caramel, sandalwood",unisex,80,UAE,sporty,Men’s Grooming (Gillette)
26,"icy mint, sandalwood, basil",unisex,68,UAE,calming,Fresh Menthol Shampoo (Head & Shoulders)
27,"lemongrass, fresh linen, sugar musk",female,35,India,calming,Fresh Menthol Shampoo (Head & Shoulders)
28,"fresh linen, orchid, orange peel",male,56,United Kingdom,warm,Laundry Fresh (Ariel/Tide)
29,"chamomile, sugar musk, bergamot",unisex,57,Sweden,warm,Laundry Fresh (Ariel/Tide)
30,"sandalwood, soft cotton, rosemary",unisex,16,Pakistan,gentle,Baby Care (Pampers)
31,"sugar musk, white musk, rosemary",female,17,Sweden,fresh,Baby Care (Pampers)
32,"cedarwood, orchid, orange peel",male,28,Italy,warm,Laundry Fresh (Ariel/Tide)
33,"lemongrass, caramel, fresh linen",unisex,45,UAE,fresh,Fresh Menthol Shampoo (Head & Shoulders)
34,"basil, sandalwood, vanilla",unisex,50,Turkey,gentle,Men’s Grooming (Gillette)
35,"grapefruit, cedarwood, jasmine",unisex,22,South Korea,fresh,Laundry Fresh (Ariel/Tide)
36,"lime, orchid, lemongrass",male,63,Brazil,fresh,Dishwashing Fresh Lemon (Fairy)
37,"cedarwood, mint herb, lemon zest",male,70,Egypt,gentle,Dishwashing Fresh Lemon (Fairy)
38,"amberwood, tonka bean, ocean breeze",unisex,44,Mexico,fresh,Fresh Menthol Shampoo (Head & Shoulders)
39,"vanilla, lavender, white musk",unisex,45,Vietnam,sporty,Baby Care (Pampers)
40,"vetiver, mandarin, white musk",female,48,Thailand,energising,Laundry Fresh (Ariel/Tide)
